date,nikkei_close,nikkei_return,jgb_futures,usd_jpy,gbp_jpy,volatility_proxy
1995-01-09,19320,0.002,143.2,100.1,154.4,0.18
1995-01-10,19410,0.005,143.0,99.8,154.1,0.18
1995-01-11,19350,-0.003,142.8,99.6,153.7,0.19
1995-01-12,19480,0.007,142.3,99.4,153.3,0.20
1995-01-13,19260,-0.011,142.0,99.2,153.0,0.22
1995-01-16,19140,-0.006,141.9,98.8,152.4,0.23
1995-01-17,18550,-0.031,141.3,98.1,151.5,0.36
1995-01-18,18110,-0.024,140.8,97.9,150.8,0.41
1995-01-19,18320,0.012,140.5,97.6,150.2,0.39
1995-01-20,18480,0.009,140.1,97.2,149.6,0.38
1995-01-23,18360,-0.006,139.9,96.9,149.3,0.37
1995-01-24,18210,-0.008,139.6,96.7,149.1,0.36
1995-01-25,18080,-0.007,139.5,96.4,148.7,0.35
1995-01-26,17990,-0.005,139.7,96.1,148.5,0.34
1995-01-27,18170,0.010,139.9,95.9,148.1,0.33
1995-01-30,18040,-0.007,140.3,95.5,147.6,0.34
1995-01-31,17930,-0.006,140.8,95.2,147.1,0.35
1995-02-01,17820,-0.006,141.0,95.0,146.9,0.34
1995-02-02,17760,-0.003,141.3,94.8,146.7,0.33
1995-02-03,17890,0.007,141.5,94.9,146.8,0.32
1995-02-06,17940,0.003,141.6,95.0,147.0,0.31
1995-02-07,18060,0.007,141.7,95.2,147.5,0.30
1995-02-08,18120,0.003,141.9,95.3,147.8,0.29
1995-02-09,18290,0.009,142.1,95.5,148.2,0.28
1995-02-10,18360,0.004,142.2,95.6,148.5,0.28
1995-02-13,18210,-0.008,142.0,95.7,148.6,0.29
1995-02-14,18140,-0.004,142.2,95.8,148.8,0.29
1995-02-15,18010,-0.007,142.3,95.9,148.9,0.30
1995-02-16,17880,-0.007,142.7,96.1,149.0,0.31
1995-02-17,17740,-0.008,142.9,96.4,149.5,0.32
1995-02-20,17620,-0.007,143.1,96.5,149.9,0.33
1995-02-21,17510,-0.006,143.3,96.7,150.4,0.34
1995-02-22,17360,-0.009,143.7,96.9,150.9,0.36
1995-02-23,17190,-0.010,144.0,97.1,151.3,0.39
1995-02-24,17020,-0.010,144.3,97.5,152.0,0.42
1995-02-27,16880,-0.008,144.5,97.9,152.7,0.44
1995-02-28,16970,0.005,144.7,98.1,153.1,0.40

