date,entity_id,instrument,net_exposure,gross_exposure,leverage_proxy,fraud_label
1995-01-09,BFS_SINGAPORE,NIKKEI_FUT,62568614.35,62568614.35,12.5137,0
1995-01-09,BFS_SINGAPORE,JGB_FUT,-18886422.72,18886422.72,3.7773,0
1995-01-09,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-9056343.08,9056343.08,1.8113,0
1995-01-10,BFS_SINGAPORE,NIKKEI_FUT,77437170.87,77437170.87,15.4874,0
1995-01-10,BFS_SINGAPORE,JGB_FUT,-20692268.62,20692268.62,4.1385,0
1995-01-10,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-10547011.45,10547011.45,2.1094,0
1995-01-11,BFS_SINGAPORE,NIKKEI_FUT,80268069.69,80268069.69,16.0536,0
1995-01-11,BFS_SINGAPORE,JGB_FUT,-21740764.9,21740764.9,4.3482,0
1995-01-11,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-11909373.23,11909373.23,2.3819,0
1995-01-12,BFS_SINGAPORE,NIKKEI_FUT,85408360.34,85408360.34,17.0817,0
1995-01-12,BFS_SINGAPORE,JGB_FUT,-22690390.51,22690390.51,4.5381,0
1995-01-12,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-12996814.21,12996814.21,2.5994,0
1995-01-13,BFS_SINGAPORE,NIKKEI_FUT,88217088.23,88217088.23,17.6434,0
1995-01-13,BFS_SINGAPORE,JGB_FUT,-27196949.48,27196949.48,5.4394,0
1995-01-13,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-14397309.63,14397309.63,2.8795,0
1995-01-16,BFS_SINGAPORE,NIKKEI_FUT,101635057.57,101635057.57,20.327,0
1995-01-16,BFS_SINGAPORE,JGB_FUT,-30060004.46,30060004.46,6.012,0
1995-01-16,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-14737388.84,14737388.84,2.9475,0
1995-01-17,BFS_SINGAPORE,NIKKEI_FUT,113313172.88,113313172.88,22.6626,0
1995-01-17,BFS_SINGAPORE,JGB_FUT,-35103468.17,35103468.17,7.0207,0
1995-01-17,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-16173419.59,16173419.59,3.2347,0
1995-01-18,BFS_SINGAPORE,NIKKEI_FUT,129976086.15,129976086.15,25.9952,0
1995-01-18,BFS_SINGAPORE,JGB_FUT,-36245964.36,36245964.36,7.2492,0
1995-01-18,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-17716150.95,17716150.95,3.5432,0
1995-01-19,BFS_SINGAPORE,NIKKEI_FUT,150916335.84,150916335.84,30.1833,0
1995-01-19,BFS_SINGAPORE,JGB_FUT,-39185433.59,39185433.59,7.8371,0
1995-01-19,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-20392081.39,20392081.39,4.0784,0
1995-01-20,BFS_SINGAPORE,NIKKEI_FUT,160865563.86,160865563.86,32.1731,0
1995-01-20,BFS_SINGAPORE,JGB_FUT,-40982394.48,40982394.48,8.1965,0
1995-01-20,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-24159519.49,24159519.49,4.8319,0
1995-01-23,BFS_SINGAPORE,NIKKEI_FUT,161297377.37,161297377.37,32.2595,0
1995-01-23,BFS_SINGAPORE,JGB_FUT,-45337469.83,45337469.83,9.0675,0
1995-01-23,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-27456543.33,27456543.33,5.4913,0
1995-01-24,BFS_SINGAPORE,NIKKEI_FUT,182941724.37,182941724.37,36.5883,0
1995-01-24,BFS_SINGAPORE,JGB_FUT,-48436242.69,48436242.69,9.6872,0
1995-01-24,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-31581713.65,31581713.65,6.3163,0
1995-01-25,BFS_SINGAPORE,NIKKEI_FUT,190808578.97,190808578.97,38.1617,0
1995-01-25,BFS_SINGAPORE,JGB_FUT,-54469495.93,54469495.93,10.8939,0
1995-01-25,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-38270851.19,38270851.19,7.6542,0
1995-01-26,BFS_SINGAPORE,NIKKEI_FUT,214903174.99,214903174.99,42.9806,0
1995-01-26,BFS_SINGAPORE,JGB_FUT,-58862548.05,58862548.05,11.7725,0
1995-01-26,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-46414234.06,46414234.06,9.2828,0
1995-01-27,BFS_SINGAPORE,NIKKEI_FUT,211826029.9,211826029.9,42.3652,0
1995-01-27,BFS_SINGAPORE,JGB_FUT,-59966818.23,59966818.23,11.9934,0
1995-01-27,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-46974882.27,46974882.27,9.395,0
1995-01-30,BFS_SINGAPORE,NIKKEI_FUT,207429181.37,207429181.37,41.4858,0
1995-01-30,BFS_SINGAPORE,JGB_FUT,-63048056.4,63048056.4,12.6096,0
1995-01-30,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-52327383.92,52327383.92,10.4655,0
1995-01-31,BFS_SINGAPORE,NIKKEI_FUT,215328055.03,215328055.03,43.0656,0
1995-01-31,BFS_SINGAPORE,JGB_FUT,-72381398.51,72381398.51,14.4763,0
1995-01-31,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-52712316.41,52712316.41,10.5425,0
1995-02-01,BFS_SINGAPORE,NIKKEI_FUT,235363364.56,235363364.56,47.0727,0
1995-02-01,BFS_SINGAPORE,JGB_FUT,-69310655.76,69310655.76,13.8621,0
1995-02-01,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-51523107.29,51523107.29,10.3046,0
1995-02-02,BFS_SINGAPORE,NIKKEI_FUT,267736299.51,267736299.51,53.5473,0
1995-02-02,BFS_SINGAPORE,JGB_FUT,-74361246.1,74361246.1,14.8722,0
1995-02-02,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-61103399.39,61103399.39,12.2207,0
