date,entity_id,reported_pnl_total,actual_pnl_total,margin_call_amount,funding_transfer,realized_cash_delta,hidden_loss_total,fraud_label
1995-01-09,BFS_SINGAPORE,-4082656.19,-4624531.93,1387359.58,166483.15,-4791015.08,541875.75,0
1995-01-10,BFS_SINGAPORE,-3687936.02,-4260547.1,1278164.13,153379.7,-4413926.79,572611.08,0
1995-01-11,BFS_SINGAPORE,-3857488.11,-4354552.36,1349911.23,161989.35,-4516541.7,497064.24,0
1995-01-12,BFS_SINGAPORE,-3551573.86,-4107425.81,1314376.26,157725.15,-4265150.96,555851.95,0
1995-01-13,BFS_SINGAPORE,-6551882.25,-7397804.02,2515253.37,301830.4,-7699634.43,845921.77,0
1995-01-16,BFS_SINGAPORE,-4299464.68,-4899181.52,1714713.53,205765.62,-5104947.15,599716.84,0
1995-01-17,BFS_SINGAPORE,-18272327.25,-20634434.31,9904528.47,1188543.42,-21822977.73,2362107.06,0
1995-01-18,BFS_SINGAPORE,-19835331.07,-22349668.81,11845324.47,1421438.94,-23771107.74,2514337.74,0
1995-01-19,BFS_SINGAPORE,-6264560.84,-7678467.99,3916018.68,469922.24,-8148390.23,1413907.15,0
1995-01-20,BFS_SINGAPORE,-7415153.01,-8842278.06,4421139.03,530536.68,-9372814.75,1427125.05,0
1995-01-23,BFS_SINGAPORE,-13035775.09,-14705205.67,7205550.78,864666.09,-15569871.77,1669430.59,0
1995-01-24,BFS_SINGAPORE,-14927989.97,-16881659.13,8103196.38,972383.57,-17854042.69,1953669.16,0
1995-01-25,BFS_SINGAPORE,-13491253.76,-15309004.66,7195232.19,863427.86,-16172432.52,1817750.9,0
1995-01-26,BFS_SINGAPORE,-12321143.53,-13898992.29,6393536.45,767224.37,-14666216.67,1577848.76,0
1995-01-27,BFS_SINGAPORE,-969301.03,-2128836.8,957976.56,114957.19,-2243793.99,1159535.77,0
1995-01-30,BFS_SINGAPORE,-16121974.3,-18165604.85,8356178.23,1002741.39,-19168346.23,2043630.55,0
1995-01-31,BFS_SINGAPORE,-17101691.75,-19269511.83,9056670.56,1086800.47,-20356312.3,2167820.08,0
