date,entity_id,reconciliation_breaks,late_entries,backdated_entries,unresolved_break_value,fraud_label
1995-01-09,BFS_SINGAPORE,9,9,5,1083240.0,0
1995-01-10,BFS_SINGAPORE,6,8,3,722160.0,0
1995-01-11,BFS_SINGAPORE,9,11,4,1092420.0,0
1995-01-12,BFS_SINGAPORE,7,8,5,856800.0,0
1995-01-13,BFS_SINGAPORE,7,7,4,871080.0,0
1995-01-16,BFS_SINGAPORE,8,8,3,1003680.0,0
1995-01-17,BFS_SINGAPORE,9,7,4,1248480.0,0
1995-01-18,BFS_SINGAPORE,5,9,4,719100.0,0
1995-01-19,BFS_SINGAPORE,7,8,4,992460.0,0
1995-01-20,BFS_SINGAPORE,7,8,2,985320.0,0
1995-01-23,BFS_SINGAPORE,7,8,3,978180.0,0
1995-01-24,BFS_SINGAPORE,6,7,4,832320.0,0
1995-01-25,BFS_SINGAPORE,9,7,3,1239300.0,0
1995-01-26,BFS_SINGAPORE,7,8,5,956760.0,0
1995-01-27,BFS_SINGAPORE,6,9,4,813960.0,0
1995-01-30,BFS_SINGAPORE,7,9,4,956760.0,0
1995-01-31,BFS_SINGAPORE,7,8,4,963900.0,0
1995-02-01,BFS_SINGAPORE,6,11,4,820080.0,0
1995-02-02,BFS_SINGAPORE,9,10,5,1220940.0,0
1995-02-03,BFS_SINGAPORE,7,8,3,942480.0,0
1995-02-06,BFS_SINGAPORE,7,8,4,935340.0,0
1995-02-07,BFS_SINGAPORE,7,9,3,928200.0,0
1995-02-08,BFS_SINGAPORE,9,7,4,1184220.0,0
1995-02-09,BFS_SINGAPORE,9,7,4,1175040.0,0
1995-02-10,BFS_SINGAPORE,6,7,4,783360.0,1
1995-02-13,BFS_SINGAPORE,8,6,3,1052640.0,1
1995-02-14,BFS_SINGAPORE,8,9,4,1052640.0,1
1995-02-15,BFS_SINGAPORE,6,9,3,795600.0,1
1995-02-16,BFS_SINGAPORE,7,9,5,935340.0,1
1995-02-17,BFS_SINGAPORE,9,9,4,1211760.0,1
1995-02-20,BFS_SINGAPORE,2,9,3,271320.0,1
1995-02-21,BFS_SINGAPORE,7,9,6,956760.0,1
1995-02-22,BFS_SINGAPORE,5,9,3,693600.0,1
1995-02-23,BFS_SINGAPORE,4,10,5,567120.0,1
1995-02-24,BFS_SINGAPORE,6,6,3,869040.0,1
1995-02-27,BFS_SINGAPORE,9,7,3,1321920.0,1
1995-02-28,BFS_SINGAPORE,8,8,4,1142400.0,1
1995-03-01,BFS_SINGAPORE,5,8,2,714232.57,1
1995-03-02,BFS_SINGAPORE,8,8,4,1157711.52,1
1995-03-03,BFS_SINGAPORE,7,10,5,1013691.86,1
1995-03-04,BFS_SINGAPORE,9,8,4,1295259.33,1
1995-03-05,BFS_SINGAPORE,8,10,4,1162059.76,1
1995-03-06,BFS_SINGAPORE,8,9,3,1152703.85,1
1995-03-07,BFS_SINGAPORE,8,6,4,1165878.36,1
1995-03-08,BFS_SINGAPORE,5,10,4,725361.07,1
1995-03-09,BFS_SINGAPORE,6,9,3,881590.81,1
1995-03-10,BFS_SINGAPORE,9,7,4,1333887.72,1
1995-03-11,BFS_SINGAPORE,6,8,4,910310.92,1
1995-03-12,BFS_SINGAPORE,9,7,3,1385227.72,1
1995-03-13,BFS_SINGAPORE,7,7,3,1075898.41,1
1995-03-14,BFS_SINGAPORE,6,6,4,921883.72,1
1995-03-15,BFS_SINGAPORE,7,10,5,1070475.81,1
1995-03-16,BFS_SINGAPORE,8,9,4,1224188.7,1
1995-03-17,BFS_SINGAPORE,7,9,3,1081114.51,1
1995-03-18,BFS_SINGAPORE,9,7,4,1381877.56,1
1995-03-19,BFS_SINGAPORE,6,8,4,924427.97,1
1995-03-20,BFS_SINGAPORE,6,8,5,918933.58,1
1995-03-21,BFS_SINGAPORE,6,9,5,916915.03,1
1995-03-22,BFS_SINGAPORE,8,8,2,1214592.21,1
1995-03-23,BFS_SINGAPORE,10,8,4,1514690.46,1
1995-03-24,BFS_SINGAPORE,4,6,3,606688.84,1
1995-03-25,BFS_SINGAPORE,9,6,3,1359920.22,1
1995-03-26,BFS_SINGAPORE,6,7,4,902528.39,1
1995-03-27,BFS_SINGAPORE,4,8,3,606973.78,1
1995-03-28,BFS_SINGAPORE,9,7,2,1372974.86,1
1995-03-29,BFS_SINGAPORE,5,7,3,765496.36,1
1995-03-30,BFS_SINGAPORE,5,8,5,768918.19,1
1995-03-31,BFS_SINGAPORE,7,8,2,1085280.0,1
1995-04-01,BFS_SINGAPORE,6,10,4,925319.37,1
1995-04-02,BFS_SINGAPORE,5,9,5,768372.71,1
1995-04-03,BFS_SINGAPORE,9,9,3,1384284.79,1
1995-04-04,BFS_SINGAPORE,5,8,5,770461.14,1
1995-04-05,BFS_SINGAPORE,8,8,4,1240320.0,1
1995-04-06,BFS_SINGAPORE,7,8,3,1085280.0,1
1995-04-07,BFS_SINGAPORE,6,9,3,930240.0,1
1995-04-08,BFS_SINGAPORE,8,7,4,1227773.69,1
1995-04-09,BFS_SINGAPORE,9,10,3,1389942.55,1
1995-04-10,BFS_SINGAPORE,7,8,3,1078031.03,1
1995-04-11,BFS_SINGAPORE,7,9,4,1084163.96,1
1995-04-12,BFS_SINGAPORE,8,10,5,1240320.0,1
1995-04-13,BFS_SINGAPORE,8,7,4,1239455.16,1
1995-04-14,BFS_SINGAPORE,9,8,5,1392913.45,1
1995-04-15,BFS_SINGAPORE,8,9,5,1240320.0,1
1995-04-16,BFS_SINGAPORE,6,9,3,929326.36,1
1995-04-17,BFS_SINGAPORE,7,9,3,1085280.0,1
1995-04-18,BFS_SINGAPORE,7,9,3,1085280.0,1
1995-04-19,BFS_SINGAPORE,7,7,2,1079566.36,1
1995-04-20,BFS_SINGAPORE,6,7,5,930240.0,1
1995-04-21,BFS_SINGAPORE,7,8,3,1084438.61,1
1995-04-22,BFS_SINGAPORE,7,8,4,1085280.0,1
1995-04-23,BFS_SINGAPORE,9,8,2,1395360.0,1
1995-04-24,BFS_SINGAPORE,5,8,4,775200.0,1
1995-04-25,BFS_SINGAPORE,7,10,6,1085280.0,1
1995-04-26,BFS_SINGAPORE,8,8,2,1224216.31,1
1995-04-27,BFS_SINGAPORE,6,7,4,919337.07,1
1995-04-28,BFS_SINGAPORE,6,6,4,923649.85,1
1995-04-29,BFS_SINGAPORE,9,9,3,1390905.33,1
1995-04-30,BFS_SINGAPORE,7,7,4,1085280.0,1
1995-05-01,BFS_SINGAPORE,9,6,4,1388603.9,1
1995-05-02,BFS_SINGAPORE,7,10,3,1085280.0,1
1995-05-03,BFS_SINGAPORE,6,7,2,929384.92,1
1995-05-04,BFS_SINGAPORE,9,8,4,1386408.31,1
1995-05-05,BFS_SINGAPORE,6,8,3,908581.22,1
1995-05-06,BFS_SINGAPORE,7,8,4,1066824.49,1
1995-05-07,BFS_SINGAPORE,6,9,4,916882.18,1
1995-05-08,BFS_SINGAPORE,7,9,4,1073774.3,1
1995-05-09,BFS_SINGAPORE,8,8,4,1239119.26,1
1995-05-10,BFS_SINGAPORE,6,8,5,922550.25,1
1995-05-11,BFS_SINGAPORE,7,8,4,1064536.07,1
1995-05-12,BFS_SINGAPORE,6,8,4,906213.14,1
1995-05-13,BFS_SINGAPORE,6,9,3,889001.59,1
1995-05-14,BFS_SINGAPORE,6,9,3,882763.68,1
1995-05-15,BFS_SINGAPORE,8,8,5,1180265.14,1
1995-05-16,BFS_SINGAPORE,7,7,3,1034856.56,1
1995-05-17,BFS_SINGAPORE,8,10,4,1181114.21,1
1995-05-18,BFS_SINGAPORE,8,7,4,1178499.34,1
1995-05-19,BFS_SINGAPORE,5,8,4,726164.45,1
1995-05-20,BFS_SINGAPORE,7,8,4,1017699.31,1
1995-05-21,BFS_SINGAPORE,8,5,3,1161771.94,1
1995-05-22,BFS_SINGAPORE,5,7,3,735169.9,1
