date,entity_id,reported_pnl_total,actual_pnl_total,margin_call_amount,funding_transfer,realized_cash_delta,hidden_loss_total,fraud_label
1995-01-09,BFS_SINGAPORE,-3660659.97,-3660659.97,1098197.99,131783.76,-3792443.73,0.0,0
1995-01-10,BFS_SINGAPORE,-3583605.18,-3583605.18,1075081.55,129009.79,-3712614.97,0.0,0
1995-01-11,BFS_SINGAPORE,-5022521.07,-5022521.07,1556981.53,186837.78,-5209358.85,0.0,0
1995-01-12,BFS_SINGAPORE,-5698477.65,-5698477.65,1823512.85,218821.54,-5917299.19,0.0,0
1995-01-13,BFS_SINGAPORE,-7042545.3,-7042545.3,2394465.4,287335.85,-7329881.15,0.0,0
1995-01-16,BFS_SINGAPORE,-5989888.18,-5989888.18,2096460.86,251575.3,-6241463.49,0.0,0
1995-01-17,BFS_SINGAPORE,-12691528.75,-12691528.75,6091933.8,731032.06,-13422560.81,0.0,0
1995-01-18,BFS_SINGAPORE,-13434434.5,-13434434.5,7120250.28,854430.03,-14288864.53,0.0,0
1995-01-19,BFS_SINGAPORE,-10310474.58,-10310474.58,5258342.04,631001.04,-10941475.62,0.0,0
1995-01-20,BFS_SINGAPORE,-10161967.58,-10161967.58,5080983.79,609718.06,-10771685.64,0.0,0
1995-01-23,BFS_SINGAPORE,-10852376.94,-10852376.94,5317664.7,638119.76,-11490496.71,0.0,0
1995-01-24,BFS_SINGAPORE,-10496110.96,-10496110.96,5038133.26,604575.99,-11100686.95,0.0,0
1995-01-25,BFS_SINGAPORE,-9019039.79,-9019039.79,4238948.7,508673.84,-9527713.63,0.0,0
1995-01-26,BFS_SINGAPORE,-9811568.17,-9811568.17,4513321.36,541598.56,-10353166.73,0.0,0
1995-01-27,BFS_SINGAPORE,-7440506.32,-7440506.32,3348227.84,401787.34,-7842293.66,0.0,0
1995-01-30,BFS_SINGAPORE,-10360905.96,-10360905.96,4766016.74,571922.01,-10932827.97,0.0,0
1995-01-31,BFS_SINGAPORE,-9727680.07,-9727680.07,4572009.63,548641.16,-10276321.22,0.0,0
1995-02-01,BFS_SINGAPORE,-9039151.49,-9039151.49,4158009.69,498961.16,-9538112.65,0.0,0
1995-02-02,BFS_SINGAPORE,-9074177.81,-9074177.81,4083380.01,490005.6,-9564183.41,0.0,0
1995-02-03,BFS_SINGAPORE,-7796613.81,-7796613.81,3430510.08,411661.21,-8208275.02,0.0,0
1995-02-06,BFS_SINGAPORE,-6490568.34,-6490568.34,2790944.39,334913.33,-6825481.66,0.0,0
1995-02-07,BFS_SINGAPORE,-6796140.28,-6796140.28,2854378.92,342525.47,-7138665.75,0.0,0
1995-02-08,BFS_SINGAPORE,-7906032.87,-7906032.87,3241473.47,388976.82,-8295009.68,0.0,0
1995-02-09,BFS_SINGAPORE,-6881025.03,-6881025.03,2752410.01,330289.2,-7211314.24,0.0,0
1995-02-10,BFS_SINGAPORE,-6819446.29,-6819446.29,2727778.52,327333.42,-7146779.71,0.0,0
1995-02-13,BFS_SINGAPORE,-9264244.5,-9264244.5,3798340.25,455800.83,-9720045.33,0.0,0
1995-02-14,BFS_SINGAPORE,-8077781.09,-8077781.09,3311890.25,397426.83,-8475207.92,0.0,0
1995-02-15,BFS_SINGAPORE,-8683945.57,-8683945.57,3647257.14,437670.86,-9121616.43,0.0,0
1995-02-16,BFS_SINGAPORE,-9364226.93,-9364226.93,4026617.58,483194.11,-9847421.04,0.0,0
1995-02-17,BFS_SINGAPORE,-9309763.3,-9309763.3,4096295.85,491555.5,-9801318.8,0.0,0
1995-02-20,BFS_SINGAPORE,-10802799.08,-10802799.08,4861259.59,583351.15,-11386150.24,0.0,0
1995-02-21,BFS_SINGAPORE,-10138011.26,-10138011.26,4663485.18,559618.22,-10697629.48,0.0,0
1995-02-22,BFS_SINGAPORE,-9974896.28,-9974896.28,4787950.21,574554.03,-10549450.31,0.0,0
1995-02-23,BFS_SINGAPORE,-12992882.79,-12992882.79,6626370.22,795164.43,-13788047.21,0.0,0
1995-02-24,BFS_SINGAPORE,-14185152.26,-14185152.26,7659982.22,919197.87,-15104350.13,0.0,0
1995-02-27,BFS_SINGAPORE,-14812439.93,-14812439.93,8294966.36,995395.96,-15807835.9,0.0,0
1995-02-28,BFS_SINGAPORE,-10277298.3,-10277298.3,5344195.12,641303.41,-10918601.72,0.0,0
1995-03-01,BFS_SINGAPORE,-10109089.98,-10109089.98,5195734.78,623488.17,-10732578.16,0.0,0
1995-03-02,BFS_SINGAPORE,-11824777.15,-11824777.15,6130069.66,735608.36,-12560385.51,0.0,0
1995-03-03,BFS_SINGAPORE,-10644488.49,-10644488.49,5566052.78,667926.33,-11312414.82,0.0,0
1995-03-04,BFS_SINGAPORE,-11835033.96,-11835033.96,6226939.17,747232.7,-12582266.66,0.0,0
1995-03-05,BFS_SINGAPORE,-14728783.94,-14728783.94,7962618.06,955514.17,-15684298.11,0.0,0
1995-03-06,BFS_SINGAPORE,-14896350.3,-14896350.3,8124721.82,974966.62,-15871316.92,0.0,0
1995-03-07,BFS_SINGAPORE,-9790218.2,-9790218.2,5308073.66,636968.84,-10427187.04,0.0,0
1995-03-08,BFS_SINGAPORE,-12749919.39,-12749919.39,6832902.65,819948.32,-13569867.7,0.0,0
1995-03-09,BFS_SINGAPORE,-11618102.3,-11618102.3,6128451.56,735414.19,-12353516.49,0.0,0
1995-03-10,BFS_SINGAPORE,-12353476.53,-12353476.53,6508180.4,780981.65,-13134458.18,0.0,0
1995-03-11,BFS_SINGAPORE,-9510921.3,-9510921.3,5111561.56,613387.39,-10124308.69,0.0,0
1995-03-12,BFS_SINGAPORE,-12566185.53,-12566185.53,6460088.3,775210.6,-13341396.12,0.0,0
1995-03-13,BFS_SINGAPORE,-11998785.2,-11998785.2,6358340.03,763000.8,-12761786.0,0.0,0
1995-03-14,BFS_SINGAPORE,-10887601.5,-10887601.5,5859129.88,703095.59,-11590697.09,0.0,0
1995-03-15,BFS_SINGAPORE,-10741845.49,-10741845.49,5783806.03,694056.72,-11435902.21,0.0,0
1995-03-16,BFS_SINGAPORE,-12736073.87,-12736073.87,6863738.08,823648.57,-13559722.44,0.0,0
1995-03-17,BFS_SINGAPORE,-14565023.93,-14565023.93,8035913.48,964309.62,-15529333.54,0.0,0
1995-03-18,BFS_SINGAPORE,-13714425.51,-13714425.51,7501902.96,900228.35,-14614653.86,0.0,0
1995-03-19,BFS_SINGAPORE,-10418031.28,-10418031.28,5945303.93,713436.47,-11131467.75,0.0,0
1995-03-20,BFS_SINGAPORE,-15027685.94,-15027685.94,8589638.83,1030756.66,-16058442.6,0.0,0
1995-03-21,BFS_SINGAPORE,-14732307.98,-14732307.98,8373270.04,1004792.4,-15737100.38,0.0,0
1995-03-22,BFS_SINGAPORE,-14519904.53,-14519904.53,8320238.59,998428.63,-15518333.16,0.0,0
1995-03-23,BFS_SINGAPORE,-15204731.35,-15204731.35,8584830.43,1030179.65,-16234911.0,0.0,0
1995-03-24,BFS_SINGAPORE,-12966971.59,-12966971.59,7267760.22,872131.23,-13839102.82,0.0,0
1995-03-25,BFS_SINGAPORE,-14727836.78,-14727836.78,8208756.14,985050.74,-15712887.52,0.0,0
1995-03-26,BFS_SINGAPORE,-14329448.58,-14329448.58,8143793.45,977255.21,-15306703.79,0.0,0
1995-03-27,BFS_SINGAPORE,-12575899.79,-12575899.79,7115842.29,853901.08,-13429800.86,0.0,0
1995-03-28,BFS_SINGAPORE,-14105543.27,-14105543.27,8197041.02,983644.92,-15089188.19,0.0,0
1995-03-29,BFS_SINGAPORE,-17750506.3,-17750506.3,10632509.43,1275901.13,-19026407.43,0.0,0
1995-03-30,BFS_SINGAPORE,-14149682.1,-14149682.1,8632490.56,1035898.87,-15185580.97,0.0,0
1995-03-31,BFS_SINGAPORE,-14514610.29,-14514610.29,8836994.63,1060439.36,-15575049.64,0.0,0
1995-04-01,BFS_SINGAPORE,-16109344.14,-16109344.14,9792285.28,1175074.23,-17284418.37,0.0,0
1995-04-02,BFS_SINGAPORE,-15185126.88,-15185126.88,9279566.34,1113547.96,-16298674.84,0.0,0
1995-04-03,BFS_SINGAPORE,-15677759.14,-15677759.14,9716755.75,1166010.69,-16843769.83,0.0,0
1995-04-04,BFS_SINGAPORE,-16360135.21,-16360135.21,10158421.89,1219010.63,-17579145.83,0.0,0
