date,nikkei_close,nikkei_return,jgb_futures,usd_jpy,gbp_jpy,volatility_proxy
1995-01-09,19320.0,0.002,143.2,100.1,154.4,0.18
1995-01-10,19410.0,0.005,143.0,99.8,154.1,0.18
1995-01-11,19350.0,-0.003,142.8,99.6,153.7,0.19
1995-01-12,19480.0,0.007,142.3,99.4,153.3,0.2
1995-01-13,19260.0,-0.011,142.0,99.2,153.0,0.22
1995-01-16,19140.0,-0.006,141.9,98.8,152.4,0.23
1995-01-17,18550.0,-0.031,141.3,98.1,151.5,0.36
1995-01-18,18110.0,-0.024,140.8,97.9,150.8,0.41
1995-01-19,18320.0,0.012,140.5,97.6,150.2,0.39
1995-01-20,18480.0,0.009,140.1,97.2,149.6,0.38
1995-01-23,18360.0,-0.006,139.9,96.9,149.3,0.37
1995-01-24,18210.0,-0.008,139.6,96.7,149.1,0.36
1995-01-25,18080.0,-0.007,139.5,96.4,148.7,0.35
1995-01-26,17990.0,-0.005,139.7,96.1,148.5,0.34
1995-01-27,18170.0,0.01,139.9,95.9,148.1,0.33
1995-01-30,18040.0,-0.007,140.3,95.5,147.6,0.34
1995-01-31,17930.0,-0.006,140.8,95.2,147.1,0.35
1995-02-01,17820.0,-0.006,141.0,95.0,146.9,0.34
1995-02-02,17760.0,-0.003,141.3,94.8,146.7,0.33
1995-02-03,17890.0,0.007,141.5,94.9,146.8,0.32
1995-02-06,17940.0,0.003,141.6,95.0,147.0,0.31
1995-02-07,18060.0,0.007,141.7,95.2,147.5,0.3
1995-02-08,18120.0,0.003,141.9,95.3,147.8,0.29
1995-02-09,18290.0,0.009,142.1,95.5,148.2,0.28
1995-02-10,18360.0,0.004,142.2,95.6,148.5,0.28
1995-02-13,18210.0,-0.008,142.0,95.7,148.6,0.29
1995-02-14,18140.0,-0.004,142.2,95.8,148.8,0.29
1995-02-15,18010.0,-0.007,142.3,95.9,148.9,0.3
1995-02-16,17880.0,-0.007,142.7,96.1,149.0,0.31
1995-02-17,17740.0,-0.008,142.9,96.4,149.5,0.32
1995-02-20,17620.0,-0.007,143.1,96.5,149.9,0.33
1995-02-21,17510.0,-0.006,143.3,96.7,150.4,0.34
1995-02-22,17360.0,-0.009,143.7,96.9,150.9,0.36
1995-02-23,17190.0,-0.01,144.0,97.1,151.3,0.39
1995-02-24,17020.0,-0.01,144.3,97.5,152.0,0.42
1995-02-27,16880.0,-0.008,144.5,97.9,152.7,0.44
1995-02-28,16970.0,0.005,144.7,98.1,153.1,0.4
1995-03-01,17109.62695008433,0.008227869775152118,144.70111346153703,98.14308535409667,153.57985666861924,0.4059189331278334
1995-03-02,17228.15942134833,0.006927823243008608,144.65576894264296,98.02424546301431,153.70495976648388,0.41207173920766327
1995-03-03,17265.73859755162,0.0021812647122780747,144.88685279011113,98.0296923822487,153.75017140521078,0.40542282707410626
1995-03-04,17177.642781197526,-0.005102348553254707,144.8186614262936,97.94599751090226,154.02973617294836,0.40298832514822186
1995-03-05,16962.597718669902,-0.012518892450308268,145.1042769901339,97.757249950044,154.30476981129274,0.38489570327999384
1995-03-06,17050.753706085663,0.005197080593306265,145.4755568751697,97.61073994675343,154.28207107831994,0.381911321268154
1995-03-07,17124.335493634135,0.004315456596045338,145.639288275775,97.45420802861294,154.2053985129433,0.37737341902453697
1995-03-08,17007.21357709628,-0.006839501397376409,145.76113468516715,97.43749676961848,154.35304723604085,0.3908411750403183
1995-03-09,16802.344266505395,-0.012046024450870952,145.68830608941758,97.46807345054175,154.22442814276414,0.3924310576229629
1995-03-10,16452.456633464048,-0.020823739086148194,145.74274497721726,97.39258351621154,154.47833433186827,0.3911786935056361
1995-03-11,16620.863965350265,0.010235999136061028,145.76480685146927,97.39451258630555,154.53641646401627,0.3931131303842414
1995-03-12,16562.41703598518,-0.0035164796178423397,146.0623211852944,97.17704932285109,154.6086884255024,0.4031843963286354
1995-03-13,16438.39268128795,-0.007488300435121415,146.09263496887542,97.10794756037585,154.82027494776162,0.4086730288180288
1995-03-14,16438.90307760752,3.104904046658972e-05,146.21442705088225,97.12011727644354,154.97066120843974,0.4092772138190265
1995-03-15,16375.091375939324,-0.003881749370194661,146.46875580719598,97.32174798465303,154.48631975603746,0.41576492445625224
1995-03-16,16421.401557905527,0.0028280869341740737,146.39164590357717,97.36001638172667,154.85293749244886,0.4216291972927831
1995-03-17,16496.62114125706,0.004580582423874681,146.43607299972186,97.42018612118014,154.7000982385065,0.43703200723674857
1995-03-18,16724.0441241898,0.013786034181507012,146.72913686259832,97.68989662197973,154.20247434475317,0.436879706171259
1995-03-19,16616.245039377794,-0.006445754627978191,147.17039667775282,97.73138702605723,153.97734583165436,0.4419558270479343
1995-03-20,16524.73703011186,-0.005507141297511691,147.32990201399224,97.73395468909297,154.21005082382752,0.44638651926714884
1995-03-21,16556.034389442757,0.0018939701898957849,147.49083214980737,97.51806860093836,154.11768067136583,0.45968476090116916
1995-03-22,16375.787945367943,-0.010887054220529465,147.49940635818467,97.96155103154808,154.18012006815155,0.4625432013308762
1995-03-23,16468.03957886131,0.005633416468333046,147.68556289433354,98.28058208436418,153.6494779046744,0.44170112131322703
1995-03-24,16495.67014306192,0.0016778295964309763,147.83894940047375,98.12944754931416,153.9136984449438,0.44151475345365654
1995-03-25,16364.233026724121,-0.007967976759833757,147.94141428299494,98.23557546679788,153.62041558646925,0.4442270884184153
1995-03-26,16291.484367522005,-0.004445589297299192,147.95735317673916,98.34106789264595,153.6056290931389,0.4267015567284623
1995-03-27,16034.404633810494,-0.015780006776056156,148.16978711997243,98.26125651252633,153.79623445791648,0.432520569327948
1995-03-28,16121.197944326701,0.0054129425132000905,148.16277401851656,98.24128207054585,153.56543144994092,0.44211167168781496
1995-03-29,16187.534143345047,0.0041148430313574106,148.18313089518747,98.41437770520245,153.51916443279995,0.43393564570680065
1995-03-30,15899.142650450722,-0.017815653103217498,148.38151747785423,98.50408822648005,153.63296708811166,0.43329397868543545
1995-03-31,15994.287102350803,0.005984250471353963,148.55918776125515,98.55991978838567,153.45598604585444,0.4434473414415247
1995-04-01,16238.77163754357,0.015285741316775172,148.7341804175655,98.58805076725967,153.22142200948576,0.4433894346700647
1995-04-02,16092.928633281928,-0.00898115987569264,148.83799945435848,98.28829907376463,153.78290190415785,0.4191758171124612
1995-04-03,16165.087128600273,0.004483863500712478,148.91111618061987,98.10485131539873,153.6427647382241,0.4107093209426833
1995-04-04,15972.77748623974,-0.011896604133997334,149.02332223685414,98.04992211877845,154.09429843246778,0.42449775932085937
1995-04-05,15816.539059010463,-0.009781544090492306,149.13211892321564,98.24325846189852,154.26238867341522,0.41211130907150373
1995-04-06,15879.156834098403,0.00395900612986943,149.27077174106086,98.32087103189866,154.57120744302725,0.40715050982038364
1995-04-07,15888.013765595373,0.0005577708936000073,149.39629008357295,97.9431475200733,154.86572797722727,0.40109750792576293
1995-04-08,15976.37001508229,0.0055611891322907775,149.38061949689467,98.04391619170927,155.05672081734863,0.4196894066686686
1995-04-09,15887.865291310725,-0.0055397267143921115,149.36134473901225,98.1043609660565,155.20010383126873,0.43005441070988576
1995-04-10,15698.632092788703,-0.011910549029234104,149.4748335710619,98.11644035886444,155.47319048222718,0.4216120293999309
1995-04-11,15578.66525972828,-0.00764186537727268,149.4253088073449,97.87449374629884,155.60480323020246,0.42577929921574553
1995-04-12,15538.309362171087,-0.0025904592520845124,149.32759335595148,98.06489842340906,155.75027247295674,0.4273338068209219
1995-04-13,15691.9400353454,0.009887219361736822,149.41195669530907,98.10877845426012,156.0124382570647,0.4374917639934115
1995-04-14,15546.263586452407,-0.009283520620449891,149.58966815069326,98.0201737845699,156.1473966213549,0.46104181583101617
1995-04-15,15394.610026887793,-0.009754984451490405,149.7993829302992,98.13590282295586,156.21812002407083,0.4725928044792405
