date,entity_id,reconciliation_breaks,late_entries,backdated_entries,unresolved_break_value,fraud_label
1995-01-09,BFS_SINGAPORE,3,2,1,169920.0,0
1995-01-10,BFS_SINGAPORE,0,1,0,0.0,0
1995-01-11,BFS_SINGAPORE,3,1,1,171360.0,0
1995-01-12,BFS_SINGAPORE,0,3,0,0.0,0
1995-01-13,BFS_SINGAPORE,0,2,0,0.0,0
1995-01-16,BFS_SINGAPORE,2,1,0,118080.0,0
1995-01-17,BFS_SINGAPORE,2,2,0,130560.0,0
1995-01-18,BFS_SINGAPORE,2,0,0,135360.0,0
1995-01-19,BFS_SINGAPORE,1,0,0,66720.0,0
1995-01-20,BFS_SINGAPORE,1,1,0,66240.0,0
1995-01-23,BFS_SINGAPORE,1,0,0,65760.0,0
1995-01-24,BFS_SINGAPORE,2,2,1,130560.0,0
1995-01-25,BFS_SINGAPORE,0,1,0,0.0,0
1995-01-26,BFS_SINGAPORE,2,2,0,128640.0,0
1995-01-27,BFS_SINGAPORE,0,0,1,0.0,0
1995-01-30,BFS_SINGAPORE,0,1,1,0.0,0
1995-01-31,BFS_SINGAPORE,3,1,0,194400.0,0
1995-02-01,BFS_SINGAPORE,1,1,0,64320.0,0
1995-02-02,BFS_SINGAPORE,0,2,0,0.0,0
1995-02-03,BFS_SINGAPORE,0,2,0,0.0,0
1995-02-06,BFS_SINGAPORE,0,3,0,0.0,0
1995-02-07,BFS_SINGAPORE,3,2,0,187200.0,0
1995-02-08,BFS_SINGAPORE,1,0,0,61920.0,0
1995-02-09,BFS_SINGAPORE,1,1,0,61440.0,0
1995-02-10,BFS_SINGAPORE,0,0,1,0.0,0
1995-02-13,BFS_SINGAPORE,3,0,0,185760.0,0
1995-02-14,BFS_SINGAPORE,1,1,1,61920.0,0
1995-02-15,BFS_SINGAPORE,0,0,0,0.0,0
1995-02-16,BFS_SINGAPORE,0,2,0,0.0,0
1995-02-17,BFS_SINGAPORE,2,2,2,126720.0,0
1995-02-20,BFS_SINGAPORE,1,3,0,63840.0,0
1995-02-21,BFS_SINGAPORE,2,4,1,128640.0,0
1995-02-22,BFS_SINGAPORE,0,3,0,0.0,0
1995-02-23,BFS_SINGAPORE,0,2,1,0.0,0
1995-02-24,BFS_SINGAPORE,3,1,0,204480.0,0
1995-02-27,BFS_SINGAPORE,0,0,0,0.0,0
1995-02-28,BFS_SINGAPORE,1,3,1,67200.0,0
1995-03-01,BFS_SINGAPORE,3,0,0,201682.19,0
1995-03-02,BFS_SINGAPORE,3,2,0,201280.21,0
1995-03-03,BFS_SINGAPORE,1,1,0,66784.83,0
1995-03-04,BFS_SINGAPORE,3,1,0,201461.62,0
1995-03-05,BFS_SINGAPORE,3,1,0,203576.91,0
1995-03-06,BFS_SINGAPORE,0,2,0,0.0,0
1995-03-07,BFS_SINGAPORE,0,1,0,0.0,0
1995-03-08,BFS_SINGAPORE,2,1,1,134636.07,0
1995-03-09,BFS_SINGAPORE,1,0,0,68068.15,0
1995-03-10,BFS_SINGAPORE,0,2,0,0.0,0
1995-03-11,BFS_SINGAPORE,1,0,0,68369.5,0
1995-03-12,BFS_SINGAPORE,2,3,0,136701.53,0
1995-03-13,BFS_SINGAPORE,0,0,0,0.0,0
1995-03-14,BFS_SINGAPORE,0,0,0,0.0,0
1995-03-15,BFS_SINGAPORE,0,0,0,0.0,0
1995-03-16,BFS_SINGAPORE,0,1,1,0.0,0
1995-03-17,BFS_SINGAPORE,0,1,1,0.0,0
1995-03-18,BFS_SINGAPORE,0,1,0,0.0,0
1995-03-19,BFS_SINGAPORE,0,0,0,0.0,0
1995-03-20,BFS_SINGAPORE,2,2,0,136806.6,0
1995-03-21,BFS_SINGAPORE,3,0,1,207345.8,0
1995-03-22,BFS_SINGAPORE,2,0,0,138880.26,0
1995-03-23,BFS_SINGAPORE,2,2,1,138327.17,0
1995-03-24,BFS_SINGAPORE,0,2,0,0.0,0
1995-03-25,BFS_SINGAPORE,2,1,1,138755.03,0
1995-03-26,BFS_SINGAPORE,2,1,0,139274.63,0
1995-03-27,BFS_SINGAPORE,0,2,0,0.0,0
1995-03-28,BFS_SINGAPORE,1,0,0,69285.06,0
1995-03-29,BFS_SINGAPORE,1,0,0,69410.73,0
1995-03-30,BFS_SINGAPORE,0,1,0,0.0,0
1995-03-31,BFS_SINGAPORE,1,2,0,69232.19,0
1995-04-01,BFS_SINGAPORE,3,0,1,207160.49,0
1995-04-02,BFS_SINGAPORE,2,0,0,137982.97,0
1995-04-03,BFS_SINGAPORE,1,0,0,69499.51,0
1995-04-04,BFS_SINGAPORE,1,0,0,70202.07,0
1995-04-05,BFS_SINGAPORE,2,0,2,140532.66,0
1995-04-06,BFS_SINGAPORE,3,0,0,209367.57,0
1995-04-07,BFS_SINGAPORE,1,1,1,70163.16,0
1995-04-08,BFS_SINGAPORE,0,1,0,0.0,0
1995-04-09,BFS_SINGAPORE,2,1,0,140388.09,0
1995-04-10,BFS_SINGAPORE,1,2,0,70390.95,0
1995-04-11,BFS_SINGAPORE,3,0,0,213409.95,0
1995-04-12,BFS_SINGAPORE,1,0,0,71455.76,0
1995-04-13,BFS_SINGAPORE,2,0,0,144034.76,0
1995-04-14,BFS_SINGAPORE,1,1,0,72260.36,0
1995-04-15,BFS_SINGAPORE,2,1,0,144475.32,0
1995-04-16,BFS_SINGAPORE,3,0,0,215245.41,0
1995-04-17,BFS_SINGAPORE,2,1,1,144519.4,0
1995-04-18,BFS_SINGAPORE,3,3,1,217231.97,0
1995-04-19,BFS_SINGAPORE,1,0,0,72073.86,0
1995-04-20,BFS_SINGAPORE,2,1,0,145476.68,0
1995-04-21,BFS_SINGAPORE,0,1,0,0.0,0
1995-04-22,BFS_SINGAPORE,2,0,0,145213.54,0
1995-04-23,BFS_SINGAPORE,0,1,1,0.0,0
1995-04-24,BFS_SINGAPORE,0,1,1,0.0,0
1995-04-25,BFS_SINGAPORE,1,2,0,72178.42,0
1995-04-26,BFS_SINGAPORE,2,0,0,144865.03,0
1995-04-27,BFS_SINGAPORE,2,1,1,145425.18,0
1995-04-28,BFS_SINGAPORE,3,2,0,214167.46,0
1995-04-29,BFS_SINGAPORE,1,2,2,71551.55,0
1995-04-30,BFS_SINGAPORE,1,1,1,71818.47,0
1995-05-01,BFS_SINGAPORE,1,3,1,72200.46,0
1995-05-02,BFS_SINGAPORE,1,1,0,72105.74,0
1995-05-03,BFS_SINGAPORE,0,4,1,0.0,0
1995-05-04,BFS_SINGAPORE,2,2,0,144493.21,0
1995-05-05,BFS_SINGAPORE,3,0,0,216571.75,0
1995-05-06,BFS_SINGAPORE,1,0,0,72960.0,0
1995-05-07,BFS_SINGAPORE,2,1,0,145920.0,0
1995-05-08,BFS_SINGAPORE,1,0,1,72211.96,0
1995-05-09,BFS_SINGAPORE,1,0,0,72831.92,0
1995-05-10,BFS_SINGAPORE,0,1,0,0.0,0
1995-05-11,BFS_SINGAPORE,0,1,0,0.0,0
1995-05-12,BFS_SINGAPORE,2,0,0,145920.0,0
1995-05-13,BFS_SINGAPORE,0,1,2,0.0,0
1995-05-14,BFS_SINGAPORE,1,1,0,72960.0,0
1995-05-15,BFS_SINGAPORE,2,1,1,143389.33,0
1995-05-16,BFS_SINGAPORE,0,0,0,0.0,0
1995-05-17,BFS_SINGAPORE,0,0,1,0.0,0
1995-05-18,BFS_SINGAPORE,1,2,0,72333.15,0
1995-05-19,BFS_SINGAPORE,4,0,0,291630.36,0
1995-05-20,BFS_SINGAPORE,1,2,1,71576.29,0
1995-05-21,BFS_SINGAPORE,1,0,0,72029.13,0
1995-05-22,BFS_SINGAPORE,1,1,0,72574.01,0
