date,entity_id,reported_pnl_total,actual_pnl_total,margin_call_amount,funding_transfer,realized_cash_delta,hidden_loss_total,fraud_label
1995-01-09,BFS_SINGAPORE,-4184323.95,-4298475.68,1289542.7,154745.12,-4453220.81,114151.73,0
1995-01-10,BFS_SINGAPORE,-3579391.11,-3676122.48,1102836.74,132340.41,-3808462.89,96731.36,0
1995-01-11,BFS_SINGAPORE,-5613954.23,-5743175.68,1780384.46,213646.14,-5956821.82,129221.45,0
1995-01-12,BFS_SINGAPORE,-2889453.75,-2989714.51,956708.64,114805.04,-3104519.55,100260.76,0
1995-01-13,BFS_SINGAPORE,-6686090.48,-6848020.98,2328327.13,279399.26,-7127420.24,161930.5,0
1995-01-16,BFS_SINGAPORE,-5263055.65,-5403117.69,1891091.19,226930.94,-5630048.64,140062.04,0
1995-01-17,BFS_SINGAPORE,-13670647.08,-13993732.02,6716991.37,806038.96,-14799770.98,323084.94,0
1995-01-18,BFS_SINGAPORE,-16295505.74,-16670594.11,8835414.88,1060249.79,-17730843.89,375088.37,0
1995-01-19,BFS_SINGAPORE,-10575234.1,-10854083.16,5535582.41,664269.89,-11518353.05,278849.06,0
1995-01-20,BFS_SINGAPORE,-9254301.11,-9502100.77,4751050.39,570126.05,-10072226.82,247799.66,0
1995-01-23,BFS_SINGAPORE,-11255103.59,-11518882.99,5644252.67,677310.32,-12196193.31,263779.4,0
1995-01-24,BFS_SINGAPORE,-10281434.4,-10525477.43,5052229.17,606267.5,-11131744.93,244043.03,0
1995-01-25,BFS_SINGAPORE,-11356354.53,-11617754.0,5460344.38,655241.33,-12272995.32,261399.46,0
1995-01-26,BFS_SINGAPORE,-9164768.07,-9375721.81,4312832.03,517539.84,-9893261.66,210953.74,0
1995-01-27,BFS_SINGAPORE,-5998411.26,-6211606.31,2795222.84,335426.74,-6547033.05,213195.04,0
1995-01-30,BFS_SINGAPORE,-9743046.58,-10000182.54,4600083.97,552010.08,-10552192.61,257135.96,0
1995-01-31,BFS_SINGAPORE,-10068492.81,-10312402.74,4846829.29,581619.51,-10894022.26,243909.93,0
1995-02-01,BFS_SINGAPORE,-10292226.99,-10543552.13,4850033.98,582004.08,-11125556.21,251325.14,0
1995-02-02,BFS_SINGAPORE,-9892737.11,-10122644.32,4555189.94,546622.79,-10669267.11,229907.21,0
1995-02-03,BFS_SINGAPORE,-6068710.41,-6266309.6,2757176.23,330861.15,-6597170.75,197599.2,0
1995-02-06,BFS_SINGAPORE,-7575757.04,-7762885.33,3338040.69,400564.88,-8163450.21,187128.29,0
1995-02-07,BFS_SINGAPORE,-4926115.22,-5105030.69,2144112.89,257293.55,-5362324.24,178915.48,0
1995-02-08,BFS_SINGAPORE,-6832481.94,-7019396.98,2877952.76,345354.33,-7364751.32,186915.05,0
1995-02-09,BFS_SINGAPORE,-3662319.87,-3820132.05,1528052.82,183366.34,-4003498.38,157812.18,0
