date,entity_id,reconciliation_breaks,late_entries,backdated_entries,unresolved_break_value,fraud_label
1995-01-09,BFS_SINGAPORE,3,1,0,212400.0,0
1995-01-10,BFS_SINGAPORE,2,5,2,141600.0,0
1995-01-11,BFS_SINGAPORE,3,3,0,214200.0,0
1995-01-12,BFS_SINGAPORE,3,1,3,216000.0,0
1995-01-13,BFS_SINGAPORE,5,2,0,366000.0,0
1995-01-16,BFS_SINGAPORE,1,4,2,73800.0,0
1995-01-17,BFS_SINGAPORE,4,2,2,326400.0,0
1995-01-18,BFS_SINGAPORE,6,2,1,507600.0,0
1995-01-19,BFS_SINGAPORE,4,4,2,333600.0,0
1995-01-20,BFS_SINGAPORE,1,3,0,82800.0,0
1995-01-23,BFS_SINGAPORE,3,2,1,246600.0,0
1995-01-24,BFS_SINGAPORE,2,2,0,163200.0,0
1995-01-25,BFS_SINGAPORE,3,4,2,243000.0,0
1995-01-26,BFS_SINGAPORE,3,2,1,241200.0,0
1995-01-27,BFS_SINGAPORE,3,2,0,239400.0,0
1995-01-30,BFS_SINGAPORE,4,3,2,321600.0,0
1995-01-31,BFS_SINGAPORE,3,1,1,243000.0,0
1995-02-01,BFS_SINGAPORE,1,1,1,80400.0,0
1995-02-02,BFS_SINGAPORE,2,2,2,159600.0,0
1995-02-03,BFS_SINGAPORE,3,3,0,237600.0,0
1995-02-06,BFS_SINGAPORE,3,2,0,235800.0,0
1995-02-07,BFS_SINGAPORE,3,2,1,234000.0,0
1995-02-08,BFS_SINGAPORE,2,3,2,154800.0,0
1995-02-09,BFS_SINGAPORE,3,1,2,230400.0,0
1995-02-10,BFS_SINGAPORE,4,2,0,307200.0,0
1995-02-13,BFS_SINGAPORE,1,1,0,77400.0,0
1995-02-14,BFS_SINGAPORE,0,2,2,0.0,0
1995-02-15,BFS_SINGAPORE,2,4,3,156000.0,0
1995-02-16,BFS_SINGAPORE,2,4,2,157200.0,0
1995-02-17,BFS_SINGAPORE,2,3,1,158400.0,0
1995-02-20,BFS_SINGAPORE,2,4,2,159600.0,0
1995-02-21,BFS_SINGAPORE,2,2,0,160800.0,0
1995-02-22,BFS_SINGAPORE,0,3,1,0.0,0
1995-02-23,BFS_SINGAPORE,0,2,3,0.0,0
1995-02-24,BFS_SINGAPORE,3,5,0,255600.0,0
1995-02-27,BFS_SINGAPORE,1,2,0,86400.0,0
1995-02-28,BFS_SINGAPORE,0,4,2,0.0,0
1995-03-01,BFS_SINGAPORE,3,4,2,254285.84,0
1995-03-02,BFS_SINGAPORE,2,2,0,169793.71,0
1995-03-03,BFS_SINGAPORE,0,1,0,0.0,0
1995-03-04,BFS_SINGAPORE,4,2,1,343041.06,0
1995-03-05,BFS_SINGAPORE,3,2,2,254131.38,0
1995-03-06,BFS_SINGAPORE,2,2,0,169340.67,0
1995-03-07,BFS_SINGAPORE,0,2,1,0.0,0
1995-03-08,BFS_SINGAPORE,2,2,0,169890.52,0
1995-03-09,BFS_SINGAPORE,0,2,2,0.0,0
1995-03-10,BFS_SINGAPORE,1,3,2,85827.88,0
1995-03-11,BFS_SINGAPORE,2,2,1,173628.44,0
1995-03-12,BFS_SINGAPORE,2,4,1,173822.76,0
1995-03-13,BFS_SINGAPORE,4,4,1,349156.6,0
1995-03-14,BFS_SINGAPORE,2,3,1,174265.51,0
1995-03-15,BFS_SINGAPORE,3,2,2,261736.94,0
1995-03-16,BFS_SINGAPORE,3,3,2,261583.8,0
1995-03-17,BFS_SINGAPORE,3,2,1,264726.65,0
1995-03-18,BFS_SINGAPORE,2,2,1,178152.42,0
1995-03-19,BFS_SINGAPORE,3,3,1,264719.32,0
1995-03-20,BFS_SINGAPORE,3,3,1,266079.48,0
1995-03-21,BFS_SINGAPORE,2,3,1,175608.5,0
1995-03-22,BFS_SINGAPORE,3,0,3,265695.83,0
1995-03-23,BFS_SINGAPORE,1,3,0,88461.11,0
1995-03-24,BFS_SINGAPORE,5,0,2,438816.8,0
1995-03-25,BFS_SINGAPORE,2,3,2,173395.88,0
1995-03-26,BFS_SINGAPORE,2,3,1,174406.56,0
1995-03-27,BFS_SINGAPORE,0,3,0,0.0,0
1995-03-28,BFS_SINGAPORE,4,3,0,345080.88,0
1995-03-29,BFS_SINGAPORE,2,2,2,172942.52,0
1995-03-30,BFS_SINGAPORE,3,2,1,263270.22,0
1995-03-31,BFS_SINGAPORE,4,0,2,350466.44,0
1995-04-01,BFS_SINGAPORE,2,4,2,176325.03,0
1995-04-02,BFS_SINGAPORE,3,6,1,268027.67,0
1995-04-03,BFS_SINGAPORE,0,2,2,0.0,0
1995-04-04,BFS_SINGAPORE,2,3,1,179733.67,0
1995-04-05,BFS_SINGAPORE,0,3,2,0.0,0
1995-04-06,BFS_SINGAPORE,2,2,2,180530.66,0
1995-04-07,BFS_SINGAPORE,2,5,1,179464.24,0
1995-04-08,BFS_SINGAPORE,2,1,1,179827.36,0
1995-04-09,BFS_SINGAPORE,1,2,1,89796.63,0
1995-04-10,BFS_SINGAPORE,3,5,1,271639.49,0
1995-04-11,BFS_SINGAPORE,1,3,2,91102.35,0
1995-04-12,BFS_SINGAPORE,2,0,1,181831.61,0
1995-04-13,BFS_SINGAPORE,4,3,1,364458.43,0
1995-04-14,BFS_SINGAPORE,3,3,2,272119.14,0
1995-04-15,BFS_SINGAPORE,4,4,0,364800.0,0
1995-04-16,BFS_SINGAPORE,4,2,1,364800.0,0
1995-04-17,BFS_SINGAPORE,0,4,1,0.0,1
1995-04-18,BFS_SINGAPORE,3,3,1,271895.96,0
1995-04-19,BFS_SINGAPORE,1,3,2,89955.34,0
