date,entity_id,instrument,net_exposure,gross_exposure,leverage_proxy,fraud_label
1995-01-09,BFS_SINGAPORE,NIKKEI_FUT,51587992.07,51587992.07,10.3176,0
1995-01-09,BFS_SINGAPORE,JGB_FUT,-17803430.53,17803430.53,3.5607,0
1995-01-09,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-7301395.78,7301395.78,1.4603,0
1995-01-10,BFS_SINGAPORE,NIKKEI_FUT,56843965.1,56843965.1,11.3688,0
1995-01-10,BFS_SINGAPORE,JGB_FUT,-19158178.79,19158178.79,3.8316,0
1995-01-10,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-7746801.77,7746801.77,1.5494,0
1995-01-11,BFS_SINGAPORE,NIKKEI_FUT,59854411.62,59854411.62,11.9709,0
1995-01-11,BFS_SINGAPORE,JGB_FUT,-19929027.98,19929027.98,3.9858,0
1995-01-11,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-9277560.41,9277560.41,1.8555,0
1995-01-12,BFS_SINGAPORE,NIKKEI_FUT,60265609.83,60265609.83,12.0531,0
1995-01-12,BFS_SINGAPORE,JGB_FUT,-21332761.6,21332761.6,4.2666,0
1995-01-12,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-9719311.93,9719311.93,1.9439,0
1995-01-13,BFS_SINGAPORE,NIKKEI_FUT,69448696.92,69448696.92,13.8897,0
1995-01-13,BFS_SINGAPORE,JGB_FUT,-22575103.05,22575103.05,4.515,0
1995-01-13,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-10563126.6,10563126.6,2.1126,0
1995-01-16,BFS_SINGAPORE,NIKKEI_FUT,78421484.94,78421484.94,15.6843,0
1995-01-16,BFS_SINGAPORE,JGB_FUT,-23297780.22,23297780.22,4.6596,0
1995-01-16,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-10299055.61,10299055.61,2.0598,0
1995-01-17,BFS_SINGAPORE,NIKKEI_FUT,84275854.85,84275854.85,16.8552,0
1995-01-17,BFS_SINGAPORE,JGB_FUT,-22181711.47,22181711.47,4.4363,0
1995-01-17,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-11492085.51,11492085.51,2.2984,0
1995-01-18,BFS_SINGAPORE,NIKKEI_FUT,82299462.41,82299462.41,16.4599,0
1995-01-18,BFS_SINGAPORE,JGB_FUT,-19492344.26,19492344.26,3.8985,0
1995-01-18,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-10619365.24,10619365.24,2.1239,0
1995-01-19,BFS_SINGAPORE,NIKKEI_FUT,84588632.69,84588632.69,16.9177,0
1995-01-19,BFS_SINGAPORE,JGB_FUT,-22087253.05,22087253.05,4.4175,0
1995-01-19,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-9896813.45,9896813.45,1.9794,0
1995-01-20,BFS_SINGAPORE,NIKKEI_FUT,89232008.15,89232008.15,17.8464,0
1995-01-20,BFS_SINGAPORE,JGB_FUT,-24323621.86,24323621.86,4.8647,0
1995-01-20,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-8401712.68,8401712.68,1.6803,0
1995-01-23,BFS_SINGAPORE,NIKKEI_FUT,90897965.73,90897965.73,18.1796,0
1995-01-23,BFS_SINGAPORE,JGB_FUT,-23959569.74,23959569.74,4.7919,0
1995-01-23,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-9143166.89,9143166.89,1.8286,0
1995-01-24,BFS_SINGAPORE,NIKKEI_FUT,109324897.04,109324897.04,21.865,0
1995-01-24,BFS_SINGAPORE,JGB_FUT,-25833484.42,25833484.42,5.1667,0
1995-01-24,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-9079673.75,9079673.75,1.8159,0
1995-01-25,BFS_SINGAPORE,NIKKEI_FUT,122282204.45,122282204.45,24.4564,0
1995-01-25,BFS_SINGAPORE,JGB_FUT,-24827236.75,24827236.75,4.9654,0
1995-01-25,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-10665063.74,10665063.74,2.133,0
1995-01-26,BFS_SINGAPORE,NIKKEI_FUT,129331178.05,129331178.05,25.8662,0
1995-01-26,BFS_SINGAPORE,JGB_FUT,-23933045.93,23933045.93,4.7866,0
1995-01-26,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-10238049.88,10238049.88,2.0476,0
1995-01-27,BFS_SINGAPORE,NIKKEI_FUT,133744267.29,133744267.29,26.7489,0
1995-01-27,BFS_SINGAPORE,JGB_FUT,-26655818.33,26655818.33,5.3312,0
1995-01-27,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-11854391.07,11854391.07,2.3709,0
1995-01-30,BFS_SINGAPORE,NIKKEI_FUT,139803126.41,139803126.41,27.9606,0
1995-01-30,BFS_SINGAPORE,JGB_FUT,-27868724.68,27868724.68,5.5737,0
1995-01-30,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-13609212.36,13609212.36,2.7218,0
1995-01-31,BFS_SINGAPORE,NIKKEI_FUT,160433480.14,160433480.14,32.0867,0
1995-01-31,BFS_SINGAPORE,JGB_FUT,-30022405.76,30022405.76,6.0045,0
1995-01-31,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-14002956.36,14002956.36,2.8006,0
1995-02-01,BFS_SINGAPORE,NIKKEI_FUT,179419761.62,179419761.62,35.884,0
1995-02-01,BFS_SINGAPORE,JGB_FUT,-30010225.32,30010225.32,6.002,0
1995-02-01,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-16528377.41,16528377.41,3.3057,0
1995-02-02,BFS_SINGAPORE,NIKKEI_FUT,176066158.05,176066158.05,35.2132,0
1995-02-02,BFS_SINGAPORE,JGB_FUT,-28261452.91,28261452.91,5.6523,0
1995-02-02,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-18916911.67,18916911.67,3.7834,0
1995-02-03,BFS_SINGAPORE,NIKKEI_FUT,200152816.96,200152816.96,40.0306,0
1995-02-03,BFS_SINGAPORE,JGB_FUT,-26526306.4,26526306.4,5.3053,0
1995-02-03,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-20826523.72,20826523.72,4.1653,0
1995-02-06,BFS_SINGAPORE,NIKKEI_FUT,222175633.84,222175633.84,44.4351,0
1995-02-06,BFS_SINGAPORE,JGB_FUT,-27927902.59,27927902.59,5.5856,0
1995-02-06,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-23690679.59,23690679.59,4.7381,0
1995-02-07,BFS_SINGAPORE,NIKKEI_FUT,219878080.23,219878080.23,43.9756,0
1995-02-07,BFS_SINGAPORE,JGB_FUT,-29310654.26,29310654.26,5.8621,0
1995-02-07,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-23916938.69,23916938.69,4.7834,0
1995-02-08,BFS_SINGAPORE,NIKKEI_FUT,207527691.47,207527691.47,41.5055,0
1995-02-08,BFS_SINGAPORE,JGB_FUT,-32044042.73,32044042.73,6.4088,0
1995-02-08,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-24695029.66,24695029.66,4.939,0
1995-02-09,BFS_SINGAPORE,NIKKEI_FUT,220194089.54,220194089.54,44.0388,0
1995-02-09,BFS_SINGAPORE,JGB_FUT,-31781065.51,31781065.51,6.3562,0
1995-02-09,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-24903311.01,24903311.01,4.9807,0
1995-02-10,BFS_SINGAPORE,NIKKEI_FUT,248570095.84,248570095.84,49.714,0
1995-02-10,BFS_SINGAPORE,JGB_FUT,-32005514.41,32005514.41,6.4011,0
1995-02-10,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-26495979.53,26495979.53,5.2992,0
1995-02-13,BFS_SINGAPORE,NIKKEI_FUT,265836967.2,265836967.2,53.1674,0
1995-02-13,BFS_SINGAPORE,JGB_FUT,-34709671.14,34709671.14,6.9419,0
1995-02-13,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-27767187.26,27767187.26,5.5534,0
1995-02-14,BFS_SINGAPORE,NIKKEI_FUT,281276105.22,281276105.22,56.2552,0
1995-02-14,BFS_SINGAPORE,JGB_FUT,-37195033.59,37195033.59,7.439,0
1995-02-14,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-32590115.31,32590115.31,6.518,0
1995-02-15,BFS_SINGAPORE,NIKKEI_FUT,314395602.66,314395602.66,62.8791,0
1995-02-15,BFS_SINGAPORE,JGB_FUT,-38892206.05,38892206.05,7.7784,0
1995-02-15,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-36622177.94,36622177.94,7.3244,0
1995-02-16,BFS_SINGAPORE,NIKKEI_FUT,355544780.32,355544780.32,71.109,0
1995-02-16,BFS_SINGAPORE,JGB_FUT,-39622922.11,39622922.11,7.9246,0
1995-02-16,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-36291260.53,36291260.53,7.2583,0
1995-02-17,BFS_SINGAPORE,NIKKEI_FUT,379177170.03,379177170.03,75.8354,0
1995-02-17,BFS_SINGAPORE,JGB_FUT,-39787696.97,39787696.97,7.9575,0
1995-02-17,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-40308365.37,40308365.37,8.0617,0
1995-02-20,BFS_SINGAPORE,NIKKEI_FUT,425341363.47,425341363.47,85.0683,0
1995-02-20,BFS_SINGAPORE,JGB_FUT,-34594377.08,34594377.08,6.9189,0
1995-02-20,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-28292855.18,28292855.18,5.6586,0
1995-02-21,BFS_SINGAPORE,NIKKEI_FUT,429128310.51,429128310.51,85.8257,0
1995-02-21,BFS_SINGAPORE,JGB_FUT,-31387893.68,31387893.68,6.2776,0
1995-02-21,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-35098894.13,35098894.13,7.0198,0
1995-02-22,BFS_SINGAPORE,NIKKEI_FUT,434169092.17,434169092.17,86.8338,0
1995-02-22,BFS_SINGAPORE,JGB_FUT,-30197711.94,30197711.94,6.0395,0
1995-02-22,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-37857110.93,37857110.93,7.5714,0
1995-02-23,BFS_SINGAPORE,NIKKEI_FUT,471221403.87,471221403.87,94.2443,0
1995-02-23,BFS_SINGAPORE,JGB_FUT,-28410947.03,28410947.03,5.6822,0
1995-02-23,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-41712470.68,41712470.68,8.3425,0
1995-02-24,BFS_SINGAPORE,NIKKEI_FUT,422847624.78,422847624.78,84.5695,0
1995-02-24,BFS_SINGAPORE,JGB_FUT,-26442489.08,26442489.08,5.2885,0
1995-02-24,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-38011966.02,38011966.02,7.6024,0
1995-02-27,BFS_SINGAPORE,NIKKEI_FUT,419071202.06,419071202.06,83.8142,0
1995-02-27,BFS_SINGAPORE,JGB_FUT,-24511830.06,24511830.06,4.9024,0
1995-02-27,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-34066364.29,34066364.29,6.8133,0
1995-02-28,BFS_SINGAPORE,NIKKEI_FUT,416008223.01,416008223.01,83.2016,0
1995-02-28,BFS_SINGAPORE,JGB_FUT,-29122366.87,29122366.87,5.8245,0
1995-02-28,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-31282610.93,31282610.93,6.2565,0
1995-03-01,BFS_SINGAPORE,NIKKEI_FUT,502704922.99,502704922.99,100.541,0
1995-03-01,BFS_SINGAPORE,JGB_FUT,-32655103.37,32655103.37,6.531,0
1995-03-01,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-33298096.0,33298096.0,6.6596,0
1995-03-02,BFS_SINGAPORE,NIKKEI_FUT,494000069.02,494000069.02,98.8,0
1995-03-02,BFS_SINGAPORE,JGB_FUT,-35531377.05,35531377.05,7.1063,0
1995-03-02,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-33191998.96,33191998.96,6.6384,0
1995-03-03,BFS_SINGAPORE,NIKKEI_FUT,440440092.03,440440092.03,88.088,0
1995-03-03,BFS_SINGAPORE,JGB_FUT,-32525738.12,32525738.12,6.5051,0
1995-03-03,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-39498350.87,39498350.87,7.8997,0
1995-03-04,BFS_SINGAPORE,NIKKEI_FUT,431140904.98,431140904.98,86.2282,0
1995-03-04,BFS_SINGAPORE,JGB_FUT,-32633528.23,32633528.23,6.5267,0
1995-03-04,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-40645055.62,40645055.62,8.129,0
