date,entity_id,desk_id,trader_id,instrument,account_id,authorized_flag,secret_account_flag,quantity,price,actual_pnl,reported_pnl,hidden_loss,trade_hour,fraud_label
1995-01-09,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,2670.19,19320.0,163277.31,163277.31,0.0,17,0
1995-01-09,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,921.5,143.2,14291.6,14291.6,0.0,14,0
1995-01-09,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,AUTH_MAIN,1,0,377.92,19320.0,-4816673.3,-4708298.15,108375.15,20,0
1995-01-10,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,2928.59,19410.0,745893.04,745893.04,0.0,17,0
1995-01-10,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,987.03,143.0,-170083.63,-166256.75,3826.88,23,0
1995-01-10,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,AUTH_MAIN,1,0,399.11,19410.0,-4919792.62,-4809097.29,110695.33,21,0
1995-01-11,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,88888,0,1,3093.25,19350.0,-914416.66,-893842.28,20574.37,18,0
1995-01-11,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,1029.92,142.8,63796.46,63796.46,0.0,16,0
1995-01-11,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,AUTH_MAIN,1,0,479.46,19350.0,-3421631.9,-3344645.18,76986.72,17,0
1995-01-12,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,3093.72,19480.0,562077.92,562077.92,0.0,16,0
1995-01-12,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,1095.11,142.3,-60955.68,-59584.18,1371.5,17,0
1995-01-12,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,AUTH_MAIN,1,0,498.94,19480.0,-4879950.57,-4770151.69,109798.89,21,0
1995-01-13,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,3605.85,19260.0,-1259126.54,-1230796.19,28330.35,17,0
1995-01-13,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,1172.12,142.0,121500.61,121500.61,0.0,18,0
1995-01-13,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,AUTH_MAIN,1,0,548.45,19260.0,-5620089.79,-5493637.77,126452.02,15,0
1995-01-16,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,4097.26,19140.0,-405349.31,-396228.95,9120.36,21,0
1995-01-16,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,1217.23,141.9,431634.83,431634.83,0.0,16,0
1995-01-16,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,AUTH_MAIN,1,0,538.09,19140.0,-4430440.28,-4330755.38,99684.91,21,0
1995-01-17,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,4543.17,18550.0,-5160921.45,-5044800.71,116120.73,19,0
1995-01-17,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,1195.78,141.3,354873.39,354873.39,0.0,23,0
1995-01-17,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,AUTH_MAIN,1,0,619.52,18550.0,-10074458.76,-9847783.44,226675.32,19,0
1995-01-18,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,4544.42,18110.0,-3717041.17,-3633407.75,83633.43,23,0
1995-01-18,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,1076.33,140.8,-265879.18,-259896.9,5982.28,19,0
1995-01-18,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,AUTH_MAIN,1,0,586.38,18110.0,-11920949.15,-11652727.79,268221.36,20,0
1995-01-19,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,4617.28,18320.0,2114696.6,2114696.6,0.0,20,0
1995-01-19,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,1205.64,140.5,94766.4,94766.4,0.0,19,0
1995-01-19,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,88888,0,1,540.22,18320.0,-11066563.57,-10817565.89,248997.68,19,0
1995-01-20,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,4828.57,18480.0,1469851.6,1469851.6,0.0,14,0
1995-01-20,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,88888,0,1,1316.21,140.1,-209530.1,-204815.68,4714.43,10,0
1995-01-20,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,88888,0,1,454.64,18480.0,-11140620.37,-10889956.41,250663.96,20,0
1995-01-23,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,4950.87,18360.0,-1275071.25,-1246382.14,28689.1,21,0
1995-01-23,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,1304.99,139.9,110615.31,110615.31,0.0,15,0
