date,entity_id,reported_pnl_total,actual_pnl_total,margin_call_amount,funding_transfer,realized_cash_delta,hidden_loss_total,fraud_label
1995-01-09,BFS_SINGAPORE,-3318812.8,-3648213.97,1094464.19,131335.7,-3779549.67,329401.17,0
1995-01-10,BFS_SINGAPORE,-3289581.12,-3644836.9,1093451.07,131214.13,-3776051.02,355255.77,0
1995-01-11,BFS_SINGAPORE,-4010241.77,-4374115.27,1355975.73,162717.09,-4536832.35,363873.5,0
1995-01-12,BFS_SINGAPORE,-3406703.63,-3813161.42,1220211.66,146425.4,-3959586.82,406457.79,0
1995-01-13,BFS_SINGAPORE,-6602148.79,-7195802.49,2446572.85,293588.74,-7489391.23,593653.71,0
1995-01-16,BFS_SINGAPORE,-3062799.04,-6806220.1,2382177.03,2382177.03,-9188397.13,3743421.05,1
1995-01-17,BFS_SINGAPORE,-7927103.5,-17615785.55,8455577.06,8455577.06,-26071362.61,9688682.05,1
1995-01-18,BFS_SINGAPORE,-7852738.11,-17959435.5,9518500.81,9518500.81,-27477936.31,10106697.38,1
1995-01-19,BFS_SINGAPORE,-3433436.09,-10524232.62,5367358.63,5367358.63,-15891591.25,7090796.53,1
1995-01-20,BFS_SINGAPORE,-2746274.22,-9170050.44,4585025.22,4585025.22,-13755075.66,6423776.23,1
