date,entity_id,reconciliation_breaks,late_entries,backdated_entries,unresolved_break_value,fraud_label
1995-01-09,BFS_SINGAPORE,7,6,2,768180.0,0
1995-01-10,BFS_SINGAPORE,6,9,4,658440.0,0
1995-01-11,BFS_SINGAPORE,7,7,2,774690.0,0
1995-01-12,BFS_SINGAPORE,7,5,5,781200.0,0
1995-01-13,BFS_SINGAPORE,9,6,2,1021140.0,0
1995-01-16,BFS_SINGAPORE,4,8,4,457560.0,0
1995-01-17,BFS_SINGAPORE,8,7,4,1011840.0,0
1995-01-18,BFS_SINGAPORE,10,6,3,1311300.0,0
1995-01-19,BFS_SINGAPORE,8,9,4,1034160.0,0
1995-01-20,BFS_SINGAPORE,5,8,2,641700.0,0
1995-01-23,BFS_SINGAPORE,6,6,3,764460.0,0
1995-01-24,BFS_SINGAPORE,6,7,2,758880.0,0
1995-01-25,BFS_SINGAPORE,7,8,4,878850.0,0
1995-01-26,BFS_SINGAPORE,7,7,3,872340.0,0
1995-01-27,BFS_SINGAPORE,7,7,1,865830.0,0
1995-01-30,BFS_SINGAPORE,8,8,4,996960.0,0
1995-01-31,BFS_SINGAPORE,7,6,3,878850.0,0
1995-02-01,BFS_SINGAPORE,4,5,3,498480.0,0
1995-02-02,BFS_SINGAPORE,6,6,4,742140.0,0
1995-02-03,BFS_SINGAPORE,7,7,2,859320.0,0
1995-02-06,BFS_SINGAPORE,7,7,2,852810.0,0
1995-02-07,BFS_SINGAPORE,7,7,3,846300.0,0
1995-02-08,BFS_SINGAPORE,6,7,4,719820.0,0
1995-02-09,BFS_SINGAPORE,7,5,4,833280.0,0
1995-02-10,BFS_SINGAPORE,8,7,2,952320.0,0
1995-02-13,BFS_SINGAPORE,4,5,3,479880.0,0
1995-02-14,BFS_SINGAPORE,4,7,4,479880.0,0
1995-02-15,BFS_SINGAPORE,6,9,5,725400.0,0
1995-02-16,BFS_SINGAPORE,5,9,4,609150.0,0
1995-02-17,BFS_SINGAPORE,6,7,4,736560.0,0
1995-02-20,BFS_SINGAPORE,6,9,4,742140.0,0
1995-02-21,BFS_SINGAPORE,6,6,2,747720.0,0
1995-02-22,BFS_SINGAPORE,4,8,4,505920.0,0
1995-02-23,BFS_SINGAPORE,3,6,5,387810.0,0
1995-02-24,BFS_SINGAPORE,7,9,3,924420.0,0
1995-02-27,BFS_SINGAPORE,5,6,3,669600.0,0
1995-02-28,BFS_SINGAPORE,3,8,4,390600.0,0
1995-03-01,BFS_SINGAPORE,7,8,4,914252.39,0
1995-03-02,BFS_SINGAPORE,6,7,3,778134.1,0
1995-03-03,BFS_SINGAPORE,4,5,1,522997.86,0
1995-03-04,BFS_SINGAPORE,8,6,4,1048545.37,0
